ID;Depth from;Depth to;Recovery;Test Type;Sampling Description;SPT-N;PP;TV;VST, Peak;VST, Residual
BHD1568;7;;;SPT;7.00m: (30, 54/150) N>50;>50;;;;
BHD1568;8;;;SPT;8.00m: (36, 42/75) N>50;>50;;;;
BHD1568;9.5;;;SPT;9.50m: (42, 51, 35/75) N>50;>50;;;;
BHD1568;11.5;;;SPT;11.50m: (33, 42/75) N>50;>50;;;;
BHD1569;1.2;;;SPT;1.20m: (10, 16, 33) N=49;49;;;;
BHD1569;2;;;SPT;2.00m: (9, 12, 18) N=30;30;;;;
BHD1569;3;;;SPT;3.00m: (6, 5, 6) N=11;11;;;;
BHD1569;4;;;SPT;4.00m: (1, 3, 8) N=11;11;;;;
BHD1569;5;;;SPT;5.00m: (12, 50/150) N>50;>50;;;;
BHD1569;5.8;;;SPT;5.80m: (25, 62/150) N>50;>50;;;;
BHD1569;6.3;;;SPT;6.30m: (37/75) N>50;>50;;;;
BHD1569;7.8;;;SPT;7.80m: (27, 53/150) N>50;>50;;;;
BHD1569;8.35;;;SPT;8.35m: (41/75) N>50;>50;;;;
BHD1569;9.5;;;SPT;9.50m: (6, 11, 30) N=41;41;;;;
BHD1569;11;;;SPT;11.00m: (12, 16, 35) N>50;>50;;;;
BHD1570;1.2;;;SPT;1.20m: (8, 12, 12) N=24;24;;;;
BHD1570;2;;;SPT;2.00m: (9, 13, 17) N=30;30;;;;
BHD1570;3;;;SPT;3.00m: (12, 18, 21) N=39;39;;;;
BHD1570;4;;;SPT;4.00m: (7, 4, 5) N=9;9;;;;
BHD1570;5;;;SPT;5.00m: (27, 40/75) N>50;>50;;;;
BHD1570;5.35;;;SPT;5.35m: (41/75) N>50;>50;;;;
BHD1570;5.9;;;SPT;5.90m: (23, 37/75) N>50;>50;;;;
BHD1570;7;;;SPT;7.00m: (11, 40, 41/75) N>50;>50;;;;
BHD1570;8;;;SPT;8.00m: (25, 50/25) N>50;>50;;;;
BHD1570;8.65;;;SPT;8.65m: (21, 35/75) N>50;>50;;;;
BHD1570;8.9;;;SPT;8.90m: (35/75) N>50;>50;;;;
BHD1570;9.1;;;SPT;9.10m: (35/75) N>50;>50;;;;
BHD1570;10.5;;;SPT;10.50m: (21, 50/35) N>50;>50;;;;
BHD1571;1.2;;;SPT;1.20m: (3, 2, 6) N=8;8;;;;
BHD1571;2.7;;;SPT;2.70m: (9, 14, 14) N=28;28;;;;
BHD1571;4.2;;;SPT;4.20m: (16, 9, 10) N=19;19;;;;
BHD1572;1.2;;;SPT;1.20m: (16, 50/120) N>50;>50;;;;
BHD1572;2.15;;;SPT;2.15m: (8, 7, 6) N=13;13;;;;
BHD1572;3.15;;;SPT;3.15m: (23, 20, 18) N=38;38;;;;
BHD1572;4.15;;;SPT;4.15m: (15, 18, 15) N=33;33;;;;
BHD1572;5.1;;;SPT;5.10m: (9, 8, 8) N=16;16;;;;
BHD1572;6.15;;;SPT;6.15m: (25/15) N>50;>50;;;;
BHD1573;1.2;;;SPT;1.20m: (12, 16, 12) N=28;28;;;;
BHD1573;2.7;;;SPT;2.70m: (5, 11, 5) N=16;16;;;;
BHD1573;4.2;;;SPT;4.20m: (7, 3, 3) N=6;6;;;;
BHD1573;5.7;;;SPT;5.70m: (25, 50/95) N>50;>50;;;;
BHD1574;1.2;;;SPT;1.20m: (7, 9, 12) N=21;21;;;;
BHD1574;2.7;;;SPT;2.70m: (4, 2, 2) N=4;4;;;;
BHD1574;4.2;;;SPT;4.20m: (25, 31, 19/100) N>50;>50;;;;
BHD1574;5.7;;;SPT;5.70m: (17, 17, 19) N=36;36;;;;
BHD1574;7.2;;;SPT;7.20m: (18, 22, 16) N=38;38;;;;
BHD1575;1.2;;;SPT;1.20m: (7, 10, 13) N=23;23;;;;
BHD1575;2.7;;;SPT;2.70m: (13, 9, 6) N=15;15;;;;
BHD1575;4.2;;;SPT;4.20m: (11, 8, 4) N=12;12;;;;
BHD1575;5.7;;;SPT;5.70m: (3, 3, 2) N=5;5;;;;
BHD1575A;1.2;;;SPT;1.20m: (5, 9, 11) N=20;20;;;;
BHD1575A;2.7;;;SPT;2.70m: (12, 12, 6) N=18;18;;;;
BHD1575A;4.2;;;SPT;4.20m: (3, 4, 3) N=7;7;;;;
BHD1575A;5.7;;;SPT;5.70m: (5, 4, 4) N=8;8;;;;
BHD1576;1.2;;;SPT;1.20m: (0, 0, 0) N=0;0;;;;
BHD1576;2.2;;;SPT;2.20m: (0, 0, 0) N=0;0;;;;
BHD1576;3.2;;;SPT;3.20m: (0, 0, 0) N=0;0;;;;
BHD1576;4.2;;;SPT;4.20m: (1, 0, 0) N=0;0;;;;
BHD1576;5.25;;;SPT;5.25m: (2, 11, 12) N=23;23;;;;
BHD1576;5.9;;;SPT;5.90m: (14, 24, 21) N=45;45;;;;
BHD1576;6.95;;;SPT;6.95m: (13, 16, 17) N=33;33;;;;
BHD1576;7.95;;;SPT;7.95m: (13, 9, 6) N=15;15;;;;
BHD1576;9.55;;;SPT;9.55m: (11, 15, 24) N=39;39;;;;
BHD1577;1.2;;;SPT;1.20m: (2, 2, 2) N=4;4;;;;
BHD1577;2.7;;;SPT;2.70m: (3, 3, 8) N=11;11;;;;
BHD1577;4.2;;;SPT;4.20m: (23, 23, 11) N=34;34;;;;
BHD1577;5.7;;;SPT;5.70m: (25, 17, 16) N>50;>50;;;;
BHD1577;7.2;;;SPT;7.20m: (5, 6, 11) N=17;17;;;;
BHD1578;1.2;;;SPT;1.20m: (2, 4, 4) N=8;8;;;;
BHD1578;3;;;SPT;3.00m: (2, 3, 5) N=8;8;;;;
BHD1578;5.4;;;SPT;5.40m: (3, 3, 4) N=7;7;;;;
BHD1579;1.2;;;SPT;1.20m: (5, 5, 7) N=12;12;;;;
BHD1579;2.7;;;SPT;2.70m: (24, 6, 7) N=13;13;;;;
BHD1579;4.2;;;SPT;4.20m: (0, 2, 3) N=5;5;;;;
BHD1579;5.7;;;SPT;5.70m: (25, 50/45) N>50;>50;;;;
BHD1579;7.2;;;SPT;7.20m: (25, 50/25) N>50;>50;;;;
BHD1579;8.7;;;SPT;8.70m: (67, 8/5) N>50;>50;;;;
BHD1579;10.2;;;SPT;10.20m: (25, 50/65) N>50;>50;;;;
BHD1579;11.7;;;SPT;11.70m: (25, 30, 20/35) N>50;>50;;;;
BHD1579;13.2;;;SPT;13.20m: (25, 50/45) N>50;>50;;;;
BHD1650;1.2;;;SPT;1.20m: (5, 5, 7) N=12;12;;;;
BHD1650;2.2;;;SPT;2.20m: (7, 7, 6) N=13;13;;;;
BHD1650;3.2;;;SPT;3.20m: (5, 6, 6) N=12;12;;;;
BHD1650;4.2;;;SPT;4.20m: (5, 43/150) N>50;>50;;;;
BHD1650;5.2;;;SPT;5.20m: (6, 8, 7) N=15;15;;;;
BHD1650;6.2;;;SPT;6.20m: (14, 38/150) N>50;>50;;;;
BHD1650;6.4;;;SPT;6.40m: (25/75) N>50;>50;;;;
BHD1651;1.2;;;SPT;1.20m: (7, 8, 7) N=15;15;;;;
BHD1651;2.23;;;SPT;2.23m: (50/0) N>50;>50;;;;
BHD1651;3.2;;;SPT;3.20m: (6, 5, 7) N=12;12;;;;
BHD1651;4.2;;;SPT;4.20m: (7, 9, 10) N=19;19;;;;
BHD1651;5.2;;;SPT;5.20m: (10, 10, 8) N=18;18;;;;
BHD1651;6.2;;;SPT;6.20m: (9, 5, 4) N=9;9;;;;
BHD1651;7.2;;;SPT;7.20m: (18, 22, 20) N=42;42;;;;
BHD1652;1.2;;;SPT;1.20m: (11, 16, 14) N=30;30;;;;
BHD1652;2.2;;;SPT;2.20m: (6, 7, 7) N=14;14;;;;
BHD1652;3.2;;;SPT;3.20m: (7, 9, 7) N=16;16;;;;
BHD1652;4.2;;;SPT;4.20m: (5, 8, 6) N=14;14;;;;
BHD1652;5.2;;;SPT;5.20m: (17, 17, 25) N=42;42;;;;
BHD1652;7.5;;;SPT;7.50m: (30/150) N>50;>50;;;;
BHD1653;1.2;;;SPT;1.20m: (10, 24, 31) N>50;>50;;;;
BHD1653;2.2;;;SPT;2.20m: (11, 10, 8) N=18;18;;;;
BHD1653;3.2;;;SPT;3.20m: (10, 7, 7) N=14;14;;;;
BHD1653;4.2;;;SPT;4.20m: (6, 10, 9) N=19;19;;;;
BHD1653;5.2;;;SPT;5.20m: (10, 34, 30/75) N>50;>50;;;;
BHD1653;6.1;;;SPT;6.10m: (26, 50/150) N>50;>50;;;;
BHD1653;6.5;;;SPT;6.50m: (25, 50/10) N>50;>50;;;;
BHD1653;6.55;;;SPT;6.55m: (25/75) N>50;>50;;;;
BHD1654;1.2;;;SPT;1.20m: (3, 3, 4) N=7;7;;;;
BHD1654;3.2;;;SPT;3.20m: (6, 34, 50/75) N>50;>50;;;;
BHD1654;4.2;;;SPT;4.20m: (5, 7, 5) N=12;12;;;;
BHD1654;5.2;;;SPT;5.20m: (7, 8, 8) N=16;16;;;;
BHD1654;6.2;;;SPT;6.20m: (10, 12, 25) N=37;37;;;;
BHD1654;7.1;;;SPT;7.10m: (50/0) N>50;>50;;;;
BHD1655;1.2;;;SPT;1.20m: (5, 3, 3) N=6;6;;;;
BHD1655;2.2;;;SPT;2.20m: (4, 5, 4) N=9;9;;;;
BHD1655;3.2;;;SPT;3.20m: (5, 2, 1) N=3;3;;;;
BHD1655;5.2;;;SPT;5.20m: (5, 6, 4) N=10;10;;;;
BHD1655;6.2;;;SPT;6.20m: (5, 6, 5) N=11;11;;;;
BHD1655;7.2;;;SPT;7.20m: (6, 21, 43) N>50;>50;;;;
BHD1655;7.8;;;SPT;7.80m: (25/75) N>50;>50;;;;
BHD1656;1.2;;;SPT;1.20m: (1, 2, 1) N=3;3;;;;
BHD1656;2.2;;;SPT;2.20m: (4, 5, 4) N=9;9;;;;
BHD1656;3.2;;;SPT;3.20m: (2, 0, 5) N=5;5;;;;
BHD1656;4.2;;;SPT;4.20m: (4, 7, 7) N=14;14;;;;
BHD1656;5.2;;;SPT;5.20m: (7, 6, 6) N=12;12;;;;
BHD1656;6.2;;;SPT;6.20m: (7, 9, 6) N=15;15;;;;
BHD1656;7.2;;;SPT;7.20m: (9, 10, 7) N=17;17;;;;
BHD1656;8.2;;;SPT;8.20m: (8, 14, 60) N>50;>50;;;;
BHD1656;8.75;;;SPT;8.75m: (50/0) N>50;>50;;;;
BHD1657;1.2;;;SPT;1.20m: (9, 15, 14) N=29;29;;;;
BHD1657;2;;;SPT;2.00m: (5, 4, 5) N=9;9;;;;
BHD1657;3;;;SPT;3.00m: (3, 3, 4) N=7;7;;;;
BHD1657;3.55;;;SPT;3.55m: (22, 16, 20) N=36;36;;;;
BHD1657;5.7;;;SPT;5.70m: (17, 14, 16) N=30;30;;;;
BHD1657;8;;;SPT;8.00m: (25, 50/20) N>50;>50;;;;
BHD1657;8.3;;;SPT;8.30m: (25/25) N>50;>50;;;;
BHD1658;1.2;;;SPT;1.20m: (4, 2, 4) N=6;6;;;;
BHD1658;2.2;;;SPT;2.20m: (3, 3, 4) N=7;7;;;;
BHD1658;3;;;SPT;3.00m: (15, 18, 27) N=45;45;;;;
BHD1658;4;;;SPT;4.00m: (7, 10, 7) N=17;17;;;;
BHD1658;5.05;;;SPT;5.05m: (4, 6, 8) N=14;14;;;;
BHD1658;5.95;;;SPT;5.95m: (24, 21, 19) N=40;40;;;;
BHD1658;7;;;SPT;7.00m: (3, 5, 6) N=11;11;;;;
BHD1658;8.15;;;SPT;8.15m: (13, 20, 25) N=45;45;;;;
BHD1658;9.7;;;SPT;9.70m: (25, 50/45) N>50;>50;;;;
BHD1658;9.95;;;SPT;9.95m: (25/40) N>50;>50;;;;
BHD1659;1.2;;;SPT;1.20m: (7, 9, 9) N=18;18;;;;
BHD1659;2;;;SPT;2.00m: (5, 5, 6) N=11;11;;;;
BHD1659;3;;;SPT;3.00m: (4, 5, 6) N=11;11;;;;
BHD1659;4;;;SPT;4.00m: (6, 9, 7) N=16;16;;;;
BHD1659;5;;;SPT;5.00m: (7, 8, 9) N=17;17;;;;
BHD1659;6.6;;;SPT;6.60m: (12, 17, 19) N=36;36;;;;
BHD1659;8.55;;;SPT;8.55m: (21, 12, 9) N=21;21;;;;
BHD1659;10.05;;;SPT;10.05m: (24, 11, 16) N=27;27;;;;
BHD1659;11.1;;;SPT;11.10m: (25, 50/40) N>50;>50;;;;
BHD1659;11.35;;;SPT;11.35m: (25/0) N>50;>50;;;;
BHD1660;1.2;;;SPT;1.20m: (3, 4, 5) N=9;9;;;;
BHD1660;2.2;;;SPT;2.20m: (4, 5, 6) N=11;11;;;;
BHD1660;3;;;SPT;3.00m: (9, 6, 5) N=11;11;;;;
BHD1660;4;;;SPT;4.00m: (7, 6, 13) N=19;19;;;;
BHD1660;5;;;SPT;5.00m: (8, 9, 6) N=15;15;;;;
BHD1660;6.65;;;SPT;6.65m: (11, 14, 11) N=25;25;;;;
BHD1660;8;;;SPT;8.00m: (25, 50/25) N>50;>50;;;;
BHD1660;8.2;;;SPT;8.20m: (25/45) N>50;>50;;;;
BHD1661;1.2;;;SPT;1.20m: (5, 5, 5) N=10;10;;;;
BHD1661;2.2;;;SPT;2.20m: (5, 8, 6) N=14;14;;;;
BHD1661;3.2;;;SPT;3.20m: (11, 17, 12) N=29;29;;;;
BHD1661;4.3;;;SPT;4.30m: (5, 8, 7) N=15;15;;;;
BHD1661;5.7;;;SPT;5.70m: (18, 20, 26) N=46;46;;;;
BHD1661;7;;;SPT;7.00m: (25, 50/50) N>50;>50;;;;
BHD1661;7.15;;;SPT;7.15m: (25, 50/25) N>50;>50;;;;
BHD1662;1.2;;;SPT;1.20m: (4, 6, 6) N=12;12;;;;
BHD1662;2.7;;;SPT;2.70m: (4, 6, 7) N=13;13;;;;
BHD1662;4.2;;;SPT;4.20m: (6, 9, 7) N=16;16;;;;
BHD1662;5.7;;;SPT;5.70m: (12, 11, 12) N=23;23;;;;
BHD1662;7.2;;;SPT;7.20m: (10, 14, 19) N=33;33;;;;
BHD1662;8.7;;;SPT;8.70m: (12, 17, 25) N=42;42;;;;
BHD1662;10.2;;;SPT;10.20m: (13, 14, 15) N=29;29;;;;
BHD1662;11.7;;;SPT;11.70m: (16, 15, 35/10) N>50;>50;;;;
BHD1662;13.2;;;SPT;13.20m: (25, 50/80) N>50;>50;;;;
BHD1662;14.7;;;SPT;14.70m: (11, 19, 19) N=38;38;;;;
BHD1662;16.2;;;SPT;16.20m: (25, 50/25) N>50;>50;;;;
BHD1663;1.2;;;SPT;1.20m: (5, 7, 9) N=16;16;;;;
BHD1663;2.7;;;SPT;2.70m: (6, 7, 6) N=13;13;;;;
BHD1663;4.2;;;SPT;4.20m: (6, 5, 5) N=10;10;;;;
BHD1663;5.7;;;SPT;5.70m: (4, 5, 7) N=12;12;;;;
BHD1663;7.2;;;SPT;7.20m: (5, 6, 4) N=10;10;;;;
BHD1663;8.7;;;SPT;8.70m: (7, 6, 8) N=14;14;;;;
BHD1663;10.2;;;SPT;10.20m: (4, 4, 2) N=6;6;;;;
BHD1663;11.7;;;SPT;11.70m: (20, 18, 15) N=33;33;;;;
BHD1663;13.2;;;SPT;13.20m: (19, 37, 13/70) N>50;>50;;;;
BHD1664;1.2;;;SPT;1.20m: (4, 5, 6) N=11;11;;;;
BHD1664;2.7;;;SPT;2.70m: (3, 16, 18) N=34;34;;;;
BHD1664;4.2;;;SPT;4.20m: (5, 5, 7) N=12;12;;;;
BHD1664;5.7;;;SPT;5.70m: (13, 12, 10) N=22;22;;;;
BHD1664;7.2;;;SPT;7.20m: (6, 7, 7) N=14;14;;;;
BHD1664;8.7;;;SPT;8.70m: (10, 17, 30) N=47;47;;;;
BHD1664;10.2;;;SPT;10.20m: (25, 50/150) N>50;>50;;;;
BHD1664;11.7;;;SPT;11.70m: (25, 50/25) N>50;>50;;;;
BHD1664;13.2;;;SPT;13.20m: (24, 50/105) N>50;>50;;;;
BHD1664;14.7;;;SPT;14.70m: (25, 50/150) N>50;>50;;;;
BHD1664;16.3;;;SPT;16.30m: (25, 50/40) N>50;>50;;;;
BHD1665;1.2;;;SPT;1.20m: (4, 5, 5) N=10;10;;;;
BHD1665;2.1;;;SPT;2.10m: (4, 8, 7) N=15;15;;;;
BHD1665;3.1;;;SPT;3.10m: (4, 5, 6) N=11;11;;;;
BHD1665;4.1;;;SPT;4.10m: (4, 4, 4) N=8;8;;;;
BHD1665;5.1;;;SPT;5.10m: (3, 2, 3) N=5;5;;;;
BHD1665;6.6;;;SPT;6.60m: (3, 3, 3) N=6;6;;;;
BHD1665;7.15;;;SPT;7.15m: (7, 12, 15) N=27;27;;;;
BHD1666;1.2;;;SPT;1.20m: (2, 2, 3) N=5;5;;;;
BHD1666;2.7;;;SPT;2.70m: (2, 3, 4) N=7;7;;;;
BHD1666;4.2;;;SPT;4.20m: (3, 4, 5) N=9;9;;;;
BHD1666;5.7;;;SPT;5.70m: (8, 8, 7) N=15;15;;;;
BHD1666;7.2;;;SPT;7.20m: (10, 11, 13) N=24;24;;;;
BHD1666;8.7;;;SPT;8.70m: (25, 50/45) N>50;>50;;;;
BHD1666;10.2;;;SPT;10.20m: (25, 50/70) N>50;>50;;;;
BHD1666;11.7;;;SPT;11.70m: (25, 50/85) N>50;>50;;;;
BHD1666;13.2;;;SPT;13.20m: (25, 50/50) N>50;>50;;;;
BHD1666;14.7;;;SPT;14.70m: (25, 50/60) N>50;>50;;;;
BHD1666;16.2;;;SPT;16.20m: (25, 50/70) N>50;>50;;;;
BHD1666;17.7;;;SPT;17.70m: (25, 50/85) N>50;>50;;;;
BHD1666;19.2;;;SPT;19.20m: (8, 50/145) N>50;>50;;;;
BHD1666;20.7;;;SPT;20.70m: (25, 46, 4/5) N>50;>50;;;;
BHD1666;22.1;;;SPT;22.10m: (25, 50/25) N>50;>50;;;;
BHD1666;23.7;;;SPT;23.70m: (25, 50/30) N>50;>50;;;;
BHD1667;1.2;;;SPT;1.20m: (4, 5, 6) N=11;11;;;;
BHD1667;2.7;;;SPT;2.70m: (4, 3, 5) N=8;8;;;;
BHD1667;4.2;;;SPT;4.20m: (2, 5, 5) N=10;10;;;;
BHD1667;5.7;;;SPT;5.70m: (5, 8, 12) N=20;20;;;;
BHD1667;7.2;;;SPT;7.20m: (5, 9, 6) N=15;15;;;;
BHD1667;8.7;;;SPT;8.70m: (20, 20, 22) N=42;42;;;;
BHD1667;10.2;;;SPT;10.20m: (25, 45, 5/15) N>50;>50;;;;
BHD1667;11.7;;;SPT;11.70m: (25, 50/100) N>50;>50;;;;
BHD1667;13.2;;;SPT;13.20m: (25, 50/80) N>50;>50;;;;
BHD1667;14.7;;;SPT;14.70m: (25, 50/65) N>50;>50;;;;
BHD1667;16.2;;;SPT;16.20m: (25, 50/110) N>50;>50;;;;
BHD1667;17.7;;;SPT;17.70m: (25, 50/55) N>50;>50;;;;
BHD1667;19.2;;;SPT;19.20m: (13, 8, 28) N=36;36;;;;
BHD1667;20.7;;;SPT;20.70m: (25, 50/45) N>50;>50;;;;
BHD1667;22.2;;;SPT;22.20m: (25, 50/115) N>50;>50;;;;
BHD1667;23.7;;;SPT;23.70m: (25, 50/40) N>50;>50;;;;
BHD1667;25.2;;;SPT;25.20m: (25, 50/45) N>50;>50;;;;
BHD1668;1.2;;;SPT;1.20m: (3, 4, 8) N=12;12;;;;
BHD1668;2.2;;;SPT;2.20m: (7, 10, 10) N=20;20;;;;
BHD1668;3.3;;;SPT;3.30m: (3, 4, 10) N=14;14;;;;
BHD1668;4.3;;;SPT;4.30m: (7, 8, 7) N=15;15;;;;
BHD1668;4.9;;;SPT;4.90m: (4, 8, 11) N=19;19;;;;
BHD1668;6;;;SPT;6.00m: (14, 14, 15) N=29;29;;;;
BHD1668;7;;;SPT;7.00m: (14, 19, 18) N=37;37;;;;
BHD1668;7.55;;;SPT;7.55m: (25, 50/20) N>50;>50;;;;
BHD1669;1.2;;;SPT;1.20m: (3, 3, 4) N=7;7;;;;
BHD1669;2.2;;;SPT;2.20m: (2, 2, 2) N=4;4;;;;
BHD1669;3.2;;;SPT;3.20m: (4, 4, 4) N=8;8;;;;
BHD1669;4.15;;;SPT;4.15m: (4, 6, 8) N=14;14;;;;
BHD1669;5.15;;;SPT;5.15m: (4, 5, 4) N=9;9;;;;
BHD1670;1.2;;;SPT;1.20m: (4, 5, 6) N=11;11;;;;
BHD1670;2.25;;;SPT;2.25m: (3, 5, 5) N=10;10;;;;
BHD1670;3;;;SPT;3.00m: (2, 7, 10) N=17;17;;;;
BHD1670;3.65;;;SPT;3.65m: (6, 7, 8) N=15;15;;;;
BHD1670;4.65;;;SPT;4.65m: (5, 8, 6) N=14;14;;;;
BHD1670;5.55;;;SPT;5.55m: (1, 1, 1) N=2;2;;;;
BHD1671;1.2;;;SPT;1.20m: (8, 9, 10) N=19;19;;;;
BHD1671;1.85;;;SPT;1.85m: (7, 8, 10) N=18;18;;;;
BHD1671;3;;;SPT;3.00m: (9, 12, 13) N=25;25;;;;
BHD1671;4;;;SPT;4.00m: (5, 5, 5) N=10;10;;;;
BHD1671;5.05;;;SPT;5.05m: (7, 12, 14) N=26;26;;;;
BHD1672;1.2;;;SPT;1.20m: (4, 6, 7) N=13;13;;;;
BHD1672;2.2;;;SPT;2.20m: (5, 7, 10) N=17;17;;;;
BHD1672;3.2;;;SPT;3.20m: (2, 2, 2) N=4;4;;;;
BHD1672;4.25;;;SPT;4.25m: (5, 8, 8) N=16;16;;;;
BHD1672;5.25;;;SPT;5.25m: (4, 6, 6) N=12;12;;;;
BHD1672;6.25;;;SPT;6.25m: (5, 5, 11) N=16;16;;;;
BHD1672;7.25;;;SPT;7.25m: (24, 14, 8) N=22;22;;;;
BHD1673;1.2;;;SPT;1.20m: (13, 15, 20) N=35;35;;;;
BHD1673;2.2;;;SPT;2.20m: (16, 28, 20) N=48;48;;;;
BHD1673;3.2;;;SPT;3.20m: (14, 16, 19) N=35;35;;;;
BHD1673;5;;;SPT;5.00m: (7, 5, 10) N=15;15;;;;
BHD1674;1.2;;;SPT;1.20m: (6, 8, 11) N=19;19;;;;
BHD1674;2.7;;;SPT;2.70m: (6, 7, 7) N=14;14;;;;
BHD1674;4.2;;;SPT;4.20m: (3, 4, 5) N=9;9;;;;
BHD1674;5.7;;;SPT;5.70m: (25, 24, 17) N=41;41;;;;
BHD1674;7.2;;;SPT;7.20m: (21, 17, 17) N=34;34;;;;
BHD1674;8.7;;;SPT;8.70m: (25, 50/130) N>50;>50;;;;
BHD1674;10.2;;;SPT;10.20m: (23, 33, 17/70) N>50;>50;;;;
BHD1674;11.7;;;SPT;11.70m: (5, 6, 4) N=10;10;;;;
BHD1674;13.3;;;SPT;13.30m: (25, 50/80) N>50;>50;;;;
BHD1674;14.7;;;SPT;14.70m: (21, 50/150) N>50;>50;;;;
BHD1674;16;;;SPT;16.00m: (25, 50/85) N>50;>50;;;;
BHD1674;17.7;;;SPT;17.70m: (25, 45/100) N>50;>50;;;;
BHD1674;19.2;;;SPT;19.20m: (25, 50/65) N>50;>50;;;;
BHD1674;20.7;;;SPT;20.70m: (12, 50/145) N>50;>50;;;;
BHD1674;22.2;;;SPT;22.20m: (25, 50/35) N>50;>50;;;;
BHD1674;23.6;;;SPT;23.60m: (24, 47, 3/5) N>50;>50;;;;
BHD1674;25.2;;;SPT;25.20m: (25, 50/85) N>50;>50;;;;
BHD1750;1.2;;;SPT;1.20m: (3, 5, 5) N=10;10;;;;
BHD1750;2.2;;;SPT;2.20m: (4, 5, 5) N=10;10;;;;
BHD1750;3.2;;;SPT;3.20m: (6, 9, 13) N=22;22;;;;
BHD1750;4.2;;;SPT;4.20m: (7, 13, 30) N=43;43;;;;
BHD1750;4.8;;;SPT;4.80m: (25, 50/25) N>50;>50;;;;
BHD1750;5;;;SPT;5.00m: (25/30) N>50;>50;;;;
BHD1750;5.3;;;SPT;5.30m: (24, 36, 14/50) N>50;>50;;;;
BHD1750;6.25;;;SPT;6.25m: (11, 9, 9) N=18;18;;;;
BHD1750;7.25;;;SPT;7.25m: (7, 10, 9) N=19;19;;;;
BHD1751;1.2;;;SPT;1.20m: (5, 5, 7) N=12;12;;;;
BHD1751;2.2;;;SPT;2.20m: (4, 7, 11) N=18;18;;;;
BHD1751;3.2;;;SPT;3.20m: (7, 10, 14) N=24;24;;;;
BHD1751;4.05;;;SPT;4.05m: (14, 19, 10) N=29;29;;;;
BHD1751;5.05;;;SPT;5.05m: (13, 11, 9) N=20;20;;;;
BHD1751;6.2;;;SPT;6.20m: (3, 4, 6) N=10;10;;;;
BHD1751;7.55;;;SPT;7.55m: (4, 8, 6) N=14;14;;;;
BHD1752;1.2;;;SPT;1.20m: (3, 4, 7) N=11;11;;;;
BHD1752;2.25;;;SPT;2.25m: (4, 5, 9) N=14;14;;;;
BHD1752;3.15;;;SPT;3.15m: (13, 21, 22) N=43;43;;;;
BHD1752;3.85;;;SPT;3.85m: (12, 16, 17) N=33;33;;;;
BHD1752;4.85;;;SPT;4.85m: (13, 16, 18) N=34;34;;;;
BHD1752;5.9;;;SPT;5.90m: (14, 11, 8) N=19;19;;;;
BHD1752;7.55;;;SPT;7.55m: (8, 11, 19) N=30;30;;;;
BHD1753;1.2;;;SPT;1.20m: (4, 6, 6) N=12;12;;;;
BHD1753;2.2;;;SPT;2.20m: (6, 9, 8) N=17;17;;;;
BHD1753;3.2;;;SPT;3.20m: (6, 5, 4) N=9;9;;;;
BHD1753;4.2;;;SPT;4.20m: (7, 9, 8) N=17;17;;;;
BHD1753;5.2;;;SPT;5.20m: (9, 8, 6) N=14;14;;;;
BHD1753;6.2;;;SPT;6.20m: (22, 15, 18) N=33;33;;;;
BHD1753;7.1;;;SPT;7.10m: (25/75) N>50;>50;;;;
BHD1754;1.2;;;SPT;1.20m: (7, 13, 12) N=25;25;;;;
BHD1754;2.2;;;SPT;2.20m: (13, 12, 10) N=22;22;;;;
BHD1754;3.2;;;SPT;3.20m: (12, 15, 17) N=32;32;;;;
BHD1754;4.2;;;SPT;4.20m: (35, 50/75) N>50;>50;;;;
BHD1754;5.2;;;SPT;5.20m: (17, 25, 48) N>50;>50;;;;
BHD1754;5.4;;;SPT;5.40m: (34, 74/150) N>50;>50;;;;
BHD1755;1.2;;;SPT;1.20m: (6, 7, 6) N=13;13;;;;
BHD1755;2.2;;;SPT;2.20m: (8, 16, 19) N=35;35;;;;
BHD1755;3.2;;;SPT;3.20m: (13, 19, 16) N=35;35;;;;
BHD1755;4.2;;;SPT;4.20m: (16, 25, 50/75) N>50;>50;;;;
BHD1755;5.2;;;SPT;5.20m: (20, 22, 20) N=42;42;;;;
BHD1755;6.2;;;SPT;6.20m: (27, 88/150) N>50;>50;;;;
BHD1756;1.2;;;SPT;1.20m: (13, 25, 22) N=47;47;;;;
BHD1756;2.05;;;SPT;2.05m: (11, 11, 9) N=20;20;;;;
BHD1756;3.1;;;SPT;3.10m: (9, 12, 11) N=23;23;;;;
BHD1756;4.1;;;SPT;4.10m: (5, 8, 6) N=14;14;;;;
BHD1756;5.8;;;SPT;5.80m: (25, 50/25) N>50;>50;;;;
BHD1756;6.05;;;SPT;6.05m: (25/20) N>50;>50;;;;
BHD1756;6.3;;;SPT;6.30m: (25, 50/30) N>50;>50;;;;
BHD1757;1.2;;;SPT;1.20m: (6, 6, 8) N=14;14;;;;
BHD1757;2.1;;;SPT;2.10m: (14, 14, 30) N=44;44;;;;
BHD1757;2.65;;;SPT;2.65m: (25, 50/20) N>50;>50;;;;
BHD1757;2.75;;;SPT;2.75m: (25/0) N>50;>50;;;;
BHD1757;3.1;;;SPT;3.10m: (10, 8, 7) N=15;15;;;;
BHD1757;4.1;;;SPT;4.10m: (4, 6, 5) N=11;11;;;;
