ID;Depth from;Depth to;Soil Type;Soil Description;USCS
BHD1458;1.7;3;GRAVEL SILTY SANDY COBBLY;Medium dense greyish brown very silty fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including hornfells, semi pelite and gabbro with cobbles. Cobbles are subrounded to rounded of semi pelite and granite;
BHD1458;3;6;GRAVEL SILTY SANDY COBBLY;Medium dense brown sandy slightly silty fine to coarse subrounded to rounded GRAVEL of mixed lithologies including granite, hornfells and gneiss with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of granite, gneiss and sandstone;
BHD1459;0;0.5;TOPSOIL;TOPSOIL (brown slightly gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and schist);
BHD1459;0.5;6;GRAVEL SILTY SANDY;Brown very sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and schist. Sand is medium to coarse;
BHD1460;0;0.3;TOPSOIL;TOPSOIL (brown slightly gravelly silty fine to coarse sand with rootlets. Gravel is of mixed lithologies including sandstone, pelite and quartzite with rootlets);
BHD1460;0.3;6.3;GRAVEL SILTY SANDY COBBLY;Brown very sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including granite, pelite and hornfels with cobbles. Sand is fine to coarse. Cobbles are subangular to subrounded of sandstone and pelite.;
BHD1460;6.3;8.05;GRAVEL SILTY SANDY COBBLY;Light brown very sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and schist with cobbles and with pockets of sandy clay. Sand is fine to coarse. Cobbles are subangular to subrounded of sandstone and psammite;
BHD1461;0;0.35;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subrounded of mixed lithologies including sandstone, quartzite and psammite);
BHD1461;0.35;1.1;SILT SANDY GRAVELLY;Stiff mottled grey and orange brown slightly sandy gravelly SILT of low plasticity with rootlets. Sand is fine to medium. Gravel is coarse subrounded of mixed lithologies including granite, sandstone and psammite;
BHD1461;1.1;2.65;SAND and GRAVEL;Brown fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including quartzite, sandstone and basalt;
BHD1461;2.65;5.7;GRAVEL SILTY SANDY COBBLY;Reddish brown sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, granite and psammite with cobbles. Sand is fine to coarse. Cobbles are of mixed lithologies including sandstone, granite and psammite;
BHD1461;5.7;7.4;GRAVEL SILTY SANDY COBBLY;Dense brown sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including granite, sandstone and psammite with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of granite and sandstone;
BHD1461;7.4;9;GRAVEL SILTY SANDY COBBLY;Reddish brown very sandy very silty fine to coarse subangular to subrounded GRAVEL with cobbles and pockets of clay of low plasticity. Sand is fine to coarse. Gravel is of mixed lithologies including schist, psammite and quartzite. Cobbles are subangular to subrounded of sandstone and schist;
BHD1461;9;9.8;GRAVEL SANDY CLAYEY;Dense reddish brown clayey fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and schist;
BHD1461;9.8;9.83;SILTSTONE;# OBSTRUCTION (possible rockhead);
BHD1462;0;0.3;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including quartzite, sandstone and psammite);
BHD1462;0.3;3;SAND SILTY GRAVELLY COBBLY;Brown very gravelly silty fine to coarse SAND with cobbles. Gravel is fine to coarse subangular to subrounded of mixed lithologies including basalt, gneiss and sandstone. Cobbles are subangular to subrounded of mixed lithologies including psammite, semi pelite and schist;
BHD1462;3;4.65;SAND SILTY GRAVELLY;Dense brown slightly gravelly very silty fine to coarse SAND. Gravel is fine to medium subrounded to rounded of psammite and sandstone;
BHD1462;4.65;5.25;SAND SILTY GRAVELLY;Reddish brown gravelly very silty fine to coarse SAND. Sand is fine to coarse. Gravel is fine to medium subangular to subrounded of mixed lithologies including sandstone, gneiss and granite;
BHD1462;5.25;8.1;SAND and GRAVEL;Brown fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, gneiss and psammite;
BHD1462;8.1;9.7;SILT SANDY GRAVELLY;Dense brown slightly gravelly slightly sandy SILT. Sand is fine to coarse. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and schist;
BHD1462;9.7;13.7;SILT SANDY GRAVELLY;Medium dense slightly gravelly sandy SILT. Sand is fine to coarse. Gravel is fine to medium subangular to subrounded of mixed lithologies including sandstone, psammite and basalt;
BHD1462;13.7;14.5;SAND GRAVELLY COBBLY;Brown gravelly fine to coarse SAND with cobbles. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and gneiss. Cobbles are subrounded to rounded of psammite and semi pelite;
BHD1462A;0;0.3;PEAT;# PEAT;
BHD1462A;0.3;1.3;SAND;# SAND;
BHD1462A;1.3;2.4;CLAY SANDY;# Grey sandy CLAY;
BHD1462A;2.4;4.55;SAND and GRAVEL;# SAND and GRAVEL;
BHD1462A;4.55;7;CLAY SANDY;# Brown sandy very sandy CLAY;
BHD1462A;7;13.4;SAND;# SAND with traces of clay;
BHD1462A;13.4;15.2;SAND and GRAVEL;# SAND and GRAVEL;
BHD1462A;15.2;16;MUDSTONE;# Red sandy MUDSTONE with sandstone plies;
BHD1462A;16;17.2;MUDSTONE;0.58m recovery of very weak MUDSTONE. Destructured evident as a total reduction to clay throughout. No discernable fracture sets;
BHD1462A;17.2;21.4;SANDSTONE;Weak locally medium strong reddish brown locally pale greenish grey thinly bedded locally cross bedded medium grained SANDSTONE. Distinctly weathered evident as a local reduction in strength at fracture surfaces. Single fracture set is bedding related, close and very closely spaced, undulose and rough;
BHD1463;0;0.3;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including, schist, psammite and granite);
BHD1463;0.3;1.2;GRAVEL SILTY SANDY;Brown very sandy slightly silty and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including schist, granite and psammite. Sand is medium to coarse;
BHD1463;1.2;6;GRAVEL SILTY SANDY COBBLY;Dense brown sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and hornfels with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of sandstone;
BHD1464;0;0.3;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including, schist, psammite and granite);
BHD1464;0.3;1.2;SAND SILTY GRAVELLY;Brown gravelly silty fine and medium SAND. Gravel is fine to coarse subangular to subrounded of mixed lithologies including schist, granite and psammite;
